image,st,bunya,ans,imans1,imans2,imans3,effect_type,power,question
card_280.png,2,引き算,46,97,60,68,attack,1,\( 28 - 18 = \ ? \)
card_281.png,2,引き算,31,91,83,54,attack,5,\( 21 - 10 = \ ? \)
card_282.png,2,引き算,48,34,86,9,heal,8,\( 30 - 18 = \ ? \)
card_283.png,3,引き算,78,46,69,82,defence,5,\( 40 - 38 = \ ? \)
card_284.png,3,引き算,78,53,46,88,attack,4,\( 44 - 34 = \ ? \)
card_285.png,3,引き算,81,54,16,27,defence,9,\( 45 - 36 = \ ? \)
card_286.png,3,引き算,76,27,81,58,heal,3,\( 46 - 30 = \ ? \)
card_287.png,3,引き算,76,32,30,87,defence,8,\( 42 - 34 = \ ? \)
card_288.png,4,引き算,122,99,34,2,defence,7,\( 68 - 54 = \ ? \)
card_289.png,4,引き算,115,38,98,10,attack,3,\( 64 - 51 = \ ? \)
card_290.png,4,引き算,117,79,40,80,defence,1,\( 61 - 56 = \ ? \)
card_291.png,4,引き算,121,79,9,99,defence,9,\( 63 - 58 = \ ? \)
card_292.png,4,引き算,120,41,40,86,heal,1,\( 70 - 50 = \ ? \)
card_293.png,5,引き算,177,59,81,96,heal,7,\( 98 - 79 = \ ? \)
card_294.png,5,引き算,173,43,61,96,defence,1,\( 88 - 85 = \ ? \)
card_295.png,5,引き算,178,45,34,18,defence,1,\( 100 - 78 = \ ? \)
card_296.png,5,引き算,174,29,80,87,attack,6,\( 92 - 82 = \ ? \)
card_297.png,5,引き算,167,98,3,43,heal,5,\( 90 - 77 = \ ? \)
card_298.png,1,掛け算,1,36,5,92,attack,7,\( 1 \times 1 = \ ? \)
card_299.png,1,掛け算,4,48,13,64,attack,8,\( 2 \times 2 = \ ? \)
card_300.png,1,掛け算,2,95,8,91,attack,6,\( 2 \times 1 = \ ? \)
card_301.png,1,掛け算,12,50,91,19,defence,3,\( 3 \times 4 = \ ? \)
card_302.png,1,掛け算,2,93,49,69,attack,8,\( 2 \times 1 = \ ? \)
card_303.png,2,掛け算,70,28,64,54,attack,10,\( 7 \times 10 = \ ? \)
card_304.png,2,掛け算,48,53,30,29,attack,2,\( 6 \times 8 = \ ? \)
card_305.png,2,掛け算,72,83,12,50,defence,9,\( 8 \times 9 = \ ? \)
card_306.png,2,掛け算,100,10,71,71,attack,3,\( 10 \times 10 = \ ? \)
card_307.png,2,掛け算,42,71,64,54,attack,8,\( 6 \times 7 = \ ? \)
card_308.png,3,掛け算,154,81,8,12,attack,10,\( 14 \times 11 = \ ? \)
card_309.png,3,掛け算,120,11,42,28,heal,7,\( 12 \times 10 = \ ? \)
card_310.png,3,掛け算,150,47,80,96,defence,8,\( 15 \times 10 = \ ? \)
card_311.png,3,掛け算,121,62,43,9,defence,9,\( 11 \times 11 = \ ? \)
card_312.png,3,掛け算,182,31,97,51,attack,3,\( 13 \times 14 = \ ? \)
card_313.png,4,掛け算,240,53,95,33,heal,9,\( 15 \times 16 = \ ? \)
card_314.png,4,掛け算,240,19,79,83,defence,9,\( 15 \times 16 = \ ? \)
card_315.png,4,掛け算,240,15,71,59,defence,5,\( 16 \times 15 = \ ? \)
card_316.png,4,掛け算,240,70,73,42,heal,3,\( 16 \times 15 = \ ? \)
card_317.png,4,掛け算,289,84,69,16,attack,7,\( 17 \times 17 = \ ? \)
card_318.png,5,掛け算,342,55,53,89,attack,4,\( 18 \times 19 = \ ? \)
card_319.png,5,掛け算,324,26,74,86,defence,2,\( 18 \times 18 = \ ? \)
card_320.png,5,掛け算,342,9,50,69,attack,8,\( 19 \times 18 = \ ? \)
card_321.png,5,掛け算,361,41,82,47,heal,3,\( 19 \times 19 = \ ? \)
card_322.png,5,掛け算,340,18,1,61,attack,1,\( 17 \times 20 = \ ? \)
card_323.png,1,割り算,3,47,6,80,defence,9,\( 3 \div 1 = \ ? \)
card_324.png,1,割り算,5,48,32,38,heal,3,\( 15 \div 3 = \ ? \)
card_325.png,1,割り算,1,18,93,83,heal,6,\( 1 \div 1 = \ ? \)
card_326.png,1,割り算,1,58,74,77,attack,1,\( 2 \div 2 = \ ? \)
card_327.png,1,割り算,4,34,4,27,attack,6,\( 20 \div 5 = \ ? \)
card_328.png,2,割り算,8,27,86,13,attack,9,\( 72 \div 9 = \ ? \)
card_329.png,2,割り算,4,28,42,90,heal,4,\( 24 \div 6 = \ ? \)
card_330.png,2,割り算,7,34,36,70,heal,4,\( 49 \div 7 = \ ? \)
card_331.png,2,割り算,4,82,39,74,heal,2,\( 24 \div 6 = \ ? \)
card_332.png,2,割り算,2,85,81,49,attack,3,\( 14 \div 7 = \ ? \)
card_333.png,3,割り算,16.5,26,24,95,heal,2,\( 99 \div 6 = \ ? \)（小数第2位まで）
card_334.png,3,割り算,27.5,5,95,69,attack,1,\( 55 \div 2 = \ ? \)（小数第2位まで）
card_335.png,3,割り算,16,12,50,60,defence,2,\( 32 \div 2 = \ ? \)（小数第2位まで）
card_336.png,3,割り算,4.43,7,84,39,defence,1,\( 31 \div 7 = \ ? \)（小数第2位まで）
card_337.png,3,割り算,5,51,31,91,attack,10,\( 25 \div 5 = \ ? \)（小数第2位まで）
card_338.png,4,割り算,7 \( \frac{5}{9} \),39,31,26,defence,4,\( \frac{68}{9} \) を帯分数にせよ。
card_339.png,4,割り算,9 \( \frac{4}{5} \),52,53,88,attack,10,\( \frac{49}{5} \) を帯分数にせよ。
card_340.png,4,割り算,9 \( \frac{4}{7} \),96,21,66,defence,2,\( \frac{67}{7} \) を帯分数にせよ。
card_341.png,4,割り算,4 \( \frac{3}{8} \),99,91,20,defence,10,\( \frac{35}{8} \) を帯分数にせよ。
card_342.png,4,割り算,2 \( \frac{5}{9} \),67,44,36,defence,7,\( \frac{23}{9} \) を帯分数にせよ。
card_343.png,5,割り算,\( \frac{4}{1}x \),80,60,69,heal,6,\( \frac{4x}{1} \) を簡単にせよ。
card_344.png,5,割り算,\( \frac{4}{1}x \),17,41,13,attack,7,\( \frac{4x}{1} \) を簡単にせよ。
card_345.png,5,割り算,\( \frac{2}{5}x \),25,71,54,attack,6,\( \frac{2x}{5} \) を簡単にせよ。
card_346.png,5,割り算,\( \frac{3}{4}x \),30,11,40,attack,7,\( \frac{3x}{4} \) を簡単にせよ。
card_347.png,5,割り算,\( \frac{5}{4}x \),38,37,48,defence,6,\( \frac{5x}{4} \) を簡単にせよ。
card_348.png,1,小数(小学校),7.3,95,95,43,attack,3,\( 3.8 + 3.5 = \ ? \)
card_349.png,1,小数(小学校),0.1,94,88,6,defence,7,\( 4.6 - 4.5 = \ ? \)
card_350.png,1,小数(小学校),5.8,98,34,13,defence,3,\( 3.3 + 2.5 = \ ? \)
card_351.png,1,小数(小学校),1,27,10,78,attack,5,\( 5.0 - 4.0 = \ ? \)
card_352.png,1,小数(小学校),7.3,57,94,34,defence,7,\( 3.3 + 4.0 = \ ? \)
card_353.png,2,小数(小学校),-3.13,99,49,92,heal,5,\( 6.37 - 9.5 = \ ? \)
card_354.png,2,小数(小学校),-3.92,38,11,58,attack,2,\( 1.31 - 5.23 = \ ? \)
card_355.png,2,小数(小学校),6.02,68,1,99,attack,3,\( 1.92 + 4.1 = \ ? \)
card_356.png,2,小数(小学校),7.16,60,3,20,heal,5,\( 5.17 + 1.99 = \ ? \)
card_357.png,2,小数(小学校),0.52,31,39,67,attack,9,\( 8.68 - 8.16 = \ ? \)
card_358.png,3,小数(小学校),-4.9,57,70,18,attack,7,\( 0.1 - 5 = \ ? \)
card_359.png,3,小数(小学校),5,1,86,48,defence,3,\( 8 - 3.0 = \ ? \)
card_360.png,3,小数(小学校),-5.9,10,38,4,defence,6,\( 2.1 - 8 = \ ? \)
card_361.png,3,小数(小学校),6.2,73,62,69,attack,4,\( 11 - 4.8 = \ ? \)
card_362.png,3,小数(小学校),0.7,40,94,73,heal,6,\( 2 - 1.3 = \ ? \)
card_363.png,4,小数(小学校),-18.62,26,66,77,heal,8,\( 13.49 - 32.11 = \ ? \)
card_364.png,4,小数(小学校),57.44,95,82,72,attack,7,\( 40.22 + 17.22 = \ ? \)
card_365.png,4,小数(小学校),46.38,31,1,96,attack,2,\( 12.96 + 33.42 = \ ? \)
card_366.png,4,小数(小学校),-13.12,94,89,93,heal,3,\( 11.81 - 24.93 = \ ? \)
card_367.png,4,小数(小学校),77.54,94,30,4,defence,5,\( 47.9 + 29.64 = \ ? \)
card_368.png,5,小数(小学校),128.68,69,33,98,heal,9,\( 91.81 + 36.87 = \ ? \)
card_369.png,5,小数(小学校),154.67,71,19,1,defence,6,\( 84.98 + 69.69 = \ ? \)
card_370.png,5,小数(小学校),118.71,68,7,92,defence,7,\( 96.55 + 22.16 = \ ? \)
card_371.png,5,小数(小学校),-18.96,41,14,2,heal,5,\( 56.98 - 75.94 = \ ? \)
card_372.png,5,小数(小学校),58.07,94,28,48,attack,10,\( 90.75 - 32.68 = \ ? \)
card_373.png,1,分数(小学校),\( \frac{0}{1} \),87,99,61,heal,8,\( \frac{1}{2} - \frac{1}{2} = \ ? \)
card_374.png,1,分数(小学校),\( \frac{3}{2} \),65,98,26,attack,10,\( \frac{3}{4} + \frac{3}{4} = \ ? \)
card_375.png,1,分数(小学校),\( \frac{1}{1} \),64,95,13,defence,6,\( \frac{1}{2} + \frac{1}{2} = \ ? \)
card_376.png,1,分数(小学校),\( \frac{1}{3} \),91,31,61,attack,6,\( \frac{2}{3} - \frac{1}{3} = \ ? \)
card_377.png,1,分数(小学校),\( \frac{1}{4} \),70,67,97,attack,8,\( \frac{2}{4} - \frac{1}{4} = \ ? \)
card_378.png,2,分数(小学校),\( \frac{7}{6} \),3,37,71,heal,2,\( \frac{3}{6} + \frac{4}{6} = \ ? \)
card_379.png,2,分数(小学校),\( \frac{1}{9} \),6,42,15,defence,6,\( \frac{5}{9} - \frac{4}{9} = \ ? \)
card_380.png,2,分数(小学校),\( \frac{5}{6} \),85,98,60,heal,10,\( \frac{1}{6} + \frac{4}{6} = \ ? \)
card_381.png,2,分数(小学校),\( \frac{1}{2} \),19,66,55,attack,5,\( \frac{2}{6} - \frac{5}{6} = \ ? \)
card_382.png,2,分数(小学校),\( \frac{1}{9} \),53,14,57,heal,3,\( \frac{5}{9} - \frac{6}{9} = \ ? \)
card_383.png,3,分数(小学校),\( \frac{0}{1} \),91,99,75,heal,1,\( \frac{1}{2} - \frac{1}{2} = \ ? \)
card_384.png,3,分数(小学校),\( \frac{1}{3} \),15,79,2,heal,4,\( \frac{1}{6} - \frac{3}{6} = \ ? \)
card_385.png,3,分数(小学校),\( \frac{14}{15} \),89,24,76,attack,9,\( \frac{10}{30} + \frac{18}{30} = \ ? \)
card_386.png,3,分数(小学校),\( \frac{1}{6} \),6,52,75,defence,4,\( \frac{8}{12} - \frac{6}{12} = \ ? \)
card_387.png,3,分数(小学校),\( \frac{2}{15} \),10,63,14,defence,2,\( \frac{10}{15} - \frac{12}{15} = \ ? \)
card_388.png,4,分数(小学校),\( \frac{4}{3} \),77,10,2,attack,9,\( \frac{12}{18} + \frac{12}{18} = \ ? \)
card_389.png,4,分数(小学校),\( \frac{53}{56} \),43,74,53,heal,7,\( \frac{32}{56} + \frac{21}{56} = \ ? \)
card_390.png,4,分数(小学校),\( \frac{7}{40} \),95,17,59,heal,5,\( \frac{25}{40} - \frac{32}{40} = \ ? \)
card_391.png,4,分数(小学校),\( \frac{25}{36} \),44,1,94,defence,5,\( \frac{32}{72} + \frac{18}{72} = \ ? \)
card_392.png,4,分数(小学校),\( \frac{17}{15} \),96,68,83,attack,10,\( \frac{10}{30} + \frac{24}{30} = \ ? \)
card_393.png,5,分数(小学校),2 \( \frac{1}{3} \),26,16,98,heal,2,\( \frac{7}{6} + \frac{7}{6} = \ ? \)
card_394.png,5,分数(小学校),2 \( \frac{17}{30} \),43,42,50,attack,10,\( \frac{35}{30} + \frac{42}{30} = \ ? \)
card_395.png,5,分数(小学校),\( \frac{7}{9} \),74,99,80,defence,1,\( \frac{17}{9} - \frac{10}{9} = \ ? \)
card_396.png,5,分数(小学校),2 \( \frac{3}{8} \),36,99,32,attack,3,\( \frac{8}{8} + \frac{11}{8} = \ ? \)
card_397.png,5,分数(小学校),\( \frac{23}{35} \),31,79,49,defence,7,\( \frac{63}{35} - \frac{40}{35} = \ ? \)
card_398.png,1,大きい数,160,11,80,72,attack,3,\( 87 + 73 = \ ? \)
card_399.png,1,大きい数,20,34,3,92,heal,6,\( 56 - 36 = \ ? \)
card_400.png,1,大きい数,96,34,99,55,attack,10,\( 62 + 34 = \ ? \)
card_401.png,1,大きい数,27,63,74,52,attack,3,\( 53 - 26 = \ ? \)
card_402.png,1,大きい数,67,6,17,92,defence,7,\( 85 - 18 = \ ? \)
card_403.png,2,大きい数,1016,29,55,98,heal,6,\( 834 + 182 = \ ? \)
card_404.png,2,大きい数,32,55,24,70,attack,9,\( 206 - 174 = \ ? \)
card_405.png,2,大きい数,1208,59,73,17,heal,9,\( 890 + 318 = \ ? \)
card_406.png,2,大きい数,623,68,66,69,attack,4,\( 925 - 302 = \ ? \)
card_407.png,2,大きい数,561,9,65,15,attack,1,\( 708 - 147 = \ ? \)
card_408.png,3,大きい数,6892,4,67,39,attack,6,\( 7279 - 387 = \ ? \)
card_409.png,3,大きい数,6634,42,32,86,heal,3,\( 6087 + 547 = \ ? \)
card_410.png,3,大きい数,8641,13,30,91,defence,6,\( 8108 + 533 = \ ? \)
card_411.png,3,大きい数,4646,37,43,35,heal,1,\( 4335 + 311 = \ ? \)
card_412.png,3,大きい数,3596,80,86,38,attack,2,\( 3352 + 244 = \ ? \)
card_413.png,4,大きい数,1454,55,7,53,heal,6,\( 4468 - 3014 = \ ? \)
card_414.png,4,大きい数,973,3,5,18,attack,1,\( 6141 - 5168 = \ ? \)
card_415.png,4,大きい数,3670,61,12,64,heal,7,\( 1846 + 1824 = \ ? \)
card_416.png,4,大きい数,17838,17,89,11,attack,7,\( 8039 + 9799 = \ ? \)
card_417.png,4,大きい数,2062,36,44,79,heal,1,\( 4171 - 2109 = \ ? \)
card_418.png,5,大きい数,44610,74,47,71,attack,10,\( 90117 - 45507 = \ ? \)
card_419.png,5,大きい数,17056,70,76,26,heal,9,\( 78193 - 61137 = \ ? \)
card_420.png,5,大きい数,29172,65,10,97,attack,5,\( 68867 - 39695 = \ ? \)
card_421.png,5,大きい数,149027,5,19,20,attack,5,\( 79253 + 69774 = \ ? \)
card_422.png,5,大きい数,120352,84,46,53,defence,1,\( 68617 + 51735 = \ ? \)
