image,st,bunya,question,ans,imans1,imans2,imans3,effect_type,power
割り算.png,2,割り算,\( 16 \div 8 = \ ? \),2,85,75,16,attack,3
割り算.png,2,割り算,\( 36 \div 9 = \ ? \),4,1,63,18,heal,2
割り算.png,2,割り算,\( 24 \div 8 = \ ? \),3,72,23,37,heal,2
割り算.png,3,割り算,\( 29 \div 8 = \ ? \)（小数第2位まで）,3.62,13,6,17,defence,8
割り算.png,3,割り算,\( 92 \div 3 = \ ? \)（小数第2位まで）,30.67,4,81,30,defence,1
割り算.png,3,割り算,\( 28 \div 8 = \ ? \)（小数第2位まで）,3.5,18,93,72,heal,8
割り算.png,3,割り算,\( 34 \div 5 = \ ? \)（小数第2位まで）,6.8,61,53,45,attack,4
割り算.png,3,割り算,\( 90 \div 10 = \ ? \)（小数第2位まで）,9.0,17,66,16,attack,4
割り算.png,4,割り算,\( \frac{10}{3} \) を帯分数にせよ。,3 \( \frac{1}{3} \),16,7,55,heal,6
割り算.png,4,割り算,\( \frac{59}{6} \) を帯分数にせよ。,9 \( \frac{5}{6} \),32,94,62,defence,6
割り算.png,4,割り算,\( \frac{25}{4} \) を帯分数にせよ。,6 \( \frac{1}{4} \),72,25,25,defence,10
割り算.png,4,割り算,\( \frac{86}{9} \) を帯分数にせよ。,9 \( \frac{5}{9} \),95,40,41,heal,6
割り算.png,4,割り算,\( \frac{39}{5} \) を帯分数にせよ。,7 \( \frac{4}{5} \),40,68,6,attack,8
割り算.png,5,割り算,\( \frac{1x}{3} \) を簡単にせよ。,\( \frac{1}{3}x \),31,63,32,attack,10
割り算.png,5,割り算,\( \frac{1x}{5} \) を簡単にせよ。,\( \frac{1}{5}x \),59,21,34,heal,9
割り算.png,5,割り算,\( \frac{5x}{4} \) を簡単にせよ。,\( \frac{5}{4}x \),85,98,77,defence,5
割り算.png,5,割り算,\( \frac{2x}{2} \) を簡単にせよ。,\( \frac{2}{2}x \),90,5,8,defence,1
割り算.png,5,割り算,\( \frac{3x}{4} \) を簡単にせよ。,\( \frac{3}{4}x \),84,81,94,heal,3
