image,st,bunya,question,ans,imans1,imans2,imans3,effect_type,power
分数(小学校).png,1,分数(小学校),\( \frac{3}{4} + \frac{3}{4} = \ ? \),\( \frac{3}{2} \),65,98,26,attack,10
分数(小学校).png,1,分数(小学校),\( \frac{1}{2} + \frac{1}{2} = \ ? \),\( \frac{1}{1} \),64,95,13,defence,6
分数(小学校).png,1,分数(小学校),\( \frac{2}{3} - \frac{1}{3} = \ ? \),\( \frac{1}{3} \),91,31,61,attack,6
分数(小学校).png,1,分数(小学校),\( \frac{2}{4} - \frac{1}{4} = \ ? \),\( \frac{1}{4} \),70,67,97,attack,8
分数(小学校).png,2,分数(小学校),\( \frac{3}{6} + \frac{4}{6} = \ ? \),\( \frac{7}{6} \),3,37,71,heal,2
分数(小学校).png,2,分数(小学校),\( \frac{5}{9} - \frac{4}{9} = \ ? \),\( \frac{1}{9} \),6,42,15,defence,6
分数(小学校).png,2,分数(小学校),\( \frac{1}{6} + \frac{4}{6} = \ ? \),\( \frac{5}{6} \),85,98,60,heal,10
分数(小学校).png,2,分数(小学校),\( \frac{2}{6} - \frac{5}{6} = \ ? \),\( \frac{1}{2} \),19,66,55,attack,5
分数(小学校).png,2,分数(小学校),\( \frac{5}{9} - \frac{6}{9} = \ ? \),\( \frac{1}{9} \),53,14,57,heal,3
分数(小学校).png,3,分数(小学校),\( \frac{1}{2} - \frac{1}{2} = \ ? \),\( \frac{0}{1} \),91,99,75,heal,1
分数(小学校).png,3,分数(小学校),\( \frac{1}{6} - \frac{3}{6} = \ ? \),\( \frac{1}{3} \),15,79,2,heal,4
分数(小学校).png,3,分数(小学校),\( \frac{10}{30} + \frac{18}{30} = \ ? \),\( \frac{14}{15} \),89,24,76,attack,9
分数(小学校).png,3,分数(小学校),\( \frac{8}{12} - \frac{6}{12} = \ ? \),\( \frac{1}{6} \),6,52,75,defence,4
分数(小学校).png,3,分数(小学校),\( \frac{10}{15} - \frac{12}{15} = \ ? \),\( \frac{2}{15} \),10,63,14,defence,2
分数(小学校).png,4,分数(小学校),\( \frac{12}{18} + \frac{12}{18} = \ ? \),\( \frac{4}{3} \),77,10,2,attack,9
分数(小学校).png,4,分数(小学校),\( \frac{32}{56} + \frac{21}{56} = \ ? \),\( \frac{53}{56} \),43,74,53,heal,7
分数(小学校).png,4,分数(小学校),\( \frac{25}{40} - \frac{32}{40} = \ ? \),\( \frac{7}{40} \),95,17,59,heal,5
分数(小学校).png,4,分数(小学校),\( \frac{32}{72} + \frac{18}{72} = \ ? \),\( \frac{25}{36} \),44,1,94,defence,5
分数(小学校).png,4,分数(小学校),\( \frac{10}{30} + \frac{24}{30} = \ ? \),\( \frac{17}{15} \),96,68,83,attack,10
分数(小学校).png,5,分数(小学校),\( \frac{7}{6} + \frac{7}{6} = \ ? \),2 \( \frac{1}{3} \),26,16,98,heal,2
分数(小学校).png,5,分数(小学校),\( \frac{35}{30} + \frac{42}{30} = \ ? \),2 \( \frac{17}{30} \),43,42,50,attack,10
分数(小学校).png,5,分数(小学校),\( \frac{17}{9} - \frac{10}{9} = \ ? \),\( \frac{7}{9} \),74,99,80,defence,1
分数(小学校).png,5,分数(小学校),\( \frac{8}{8} + \frac{11}{8} = \ ? \),2 \( \frac{3}{8} \),36,99,32,attack,3
分数(小学校).png,5,分数(小学校),\( \frac{63}{35} - \frac{40}{35} = \ ? \),\( \frac{23}{35} \),31,79,49,defence,7
大きい数.png,1,大きい数,\( 87 + 73 = \ ? \),160,11,80,72,attack,3
大きい数.png,1,大きい数,\( 56 - 36 = \ ? \),20,34,3,92,heal,6
大きい数.png,1,大きい数,\( 62 + 34 = \ ? \),96,34,99,55,attack,10
大きい数.png,1,大きい数,\( 53 - 26 = \ ? \),27,63,74,52,attack,3
大きい数.png,1,大きい数,\( 85 - 18 = \ ? \),67,6,17,92,defence,7
大きい数.png,2,大きい数,\( 834 + 182 = \ ? \),1016,29,55,98,heal,6
大きい数.png,2,大きい数,\( 206 - 174 = \ ? \),32,55,24,70,attack,9
大きい数.png,2,大きい数,\( 890 + 318 = \ ? \),1208,59,73,17,heal,9
大きい数.png,2,大きい数,\( 925 - 302 = \ ? \),623,68,66,69,attack,4
大きい数.png,2,大きい数,\( 708 - 147 = \ ? \),561,9,65,15,attack,1
大きい数.png,3,大きい数,\( 7279 - 387 = \ ? \),6892,4,67,39,attack,6
大きい数.png,3,大きい数,\( 6087 + 547 = \ ? \),6634,42,32,86,heal,3
大きい数.png,3,大きい数,\( 8108 + 533 = \ ? \),8641,13,30,91,defence,6
大きい数.png,3,大きい数,\( 4335 + 311 = \ ? \),4646,37,43,35,heal,1
大きい数.png,3,大きい数,\( 3352 + 244 = \ ? \),3596,80,86,38,attack,2
大きい数.png,4,大きい数,\( 4468 - 3014 = \ ? \),1454,55,7,53,heal,6
大きい数.png,4,大きい数,\( 6141 - 5168 = \ ? \),973,3,5,18,attack,1
大きい数.png,4,大きい数,\( 1846 + 1824 = \ ? \),3670,61,12,64,heal,7
大きい数.png,4,大きい数,\( 8039 + 9799 = \ ? \),17838,17,89,11,attack,7
大きい数.png,4,大きい数,\( 4171 - 2109 = \ ? \),2062,36,44,79,heal,1
大きい数.png,5,大きい数,\( 90117 - 45507 = \ ? \),44610,74,47,71,attack,10
大きい数.png,5,大きい数,\( 78193 - 61137 = \ ? \),17056,70,76,26,heal,9
大きい数.png,5,大きい数,\( 68867 - 39695 = \ ? \),29172,65,10,97,attack,5
大きい数.png,5,大きい数,\( 79253 + 69774 = \ ? \),149027,5,19,20,attack,5
大きい数.png,5,大きい数,\( 68617 + 51735 = \ ? \),120352,84,46,53,defence,1
